EG	GN	SP	GI	Description	
EG10001	alr	P0A6B4	g1790487	Alanine racemase
EG10264	entF	P11454	g1786801	Enterochelin synthase, component F; multifunctional: holo-EntF(PCP), primed by EntD; seryl-AMP, seryl-S-EntF synthase; DHB-Ser-S-EntF intermediate formation; chain-releasing thioesterase (TE) domain is both a cyclotrimerizing lactone synthase and an elong
EG10265	lpxC	P0A725	g1786285	Lipid A synthesis, UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine deacetylase; zinc metalloamidase; cell envelope and cell separation
EG10266	acrE	P24180	g1789665	AcrEF-TolC efflux pump, multidrug/solvent resistance; membrane-fusion lipoprotein
EG10267	acrF	P24181	g1789666	AcrEF-TolC efflux pump, multidrug/solvent resistance; osmotically remedial envelope defect
EG10268	envY	P10805	g1786778	Thermoregulatory activator of porin expression, AraC family
EG10269	envZ	P0AEJ4	g1789808	Osmosensor histidine protein kinase/phosphatase; regulates production of outer membrane proteins; dimeric
EG10270	era	P06616	g1788919	Ribosome-associated GTPase essential for growth; also required for a normal adaptation response to thermal stress; GTP-dependent autophosphorylating protein kinase activity; membrane-associated, 16S rRNA-binding protein; cell cycle arrest, possible checkp
EG10271	exbB	P0ABU7	g1789381	Uptake of enterochelin; resistance or sensitivity to colicins; similarity with TolQ
EG10272	exbD	P0ABV2	g1789380	Uptake of enterochelin; resistance or sensitivity to colicins; similarity with TolR
EG10273	fabA	P0A6Q3	g1787187	3R-3-hydroxydecanoyl acyl carrier protein (ACP) dehydratase; also called beta-hydroxydecanoylthioester dehydrase
EG10274	fabB	P0A953	g1788663	3-oxoacyl-[acyl-carrier-protein] synthase I; beta-Ketoacyl-ACP synthase I; KAS I; homodimeric
EG10275	accB	P0ABD8	g1789653	Acetyl-CoA carboxylase, biotin carboxyl carrier protein; BCCP; homodimeric
EG10276	accC	P24182	g1789654	Acetyl-CoA carboxylase, biotin carboxylase (BC) subunit
EG10277	fabH	P0A6R0	g1787333	beta-Ketoacyl-ACP synthase III; KAS III; monomer
EG10278	fadA	P21151	g48994986	3-ketoacyl-CoA thiolase, fatty acid oxidation complex subunit beta
EG10279	fadB	P21177	g1790281	Multifunctional fatty acid oxidation complex subunit alpha; four enzyme activities: L-3-hydroxyacyl-CoA dehydrogenase, 3-hydroxyacyl-CoA epimerase, dodecenoyl-CoA-delta-isomerase, and small-chain-length enoyl-CoA hydratase (cronotase)
EG10280	fadL	P10384	g1788686	Fatty acid transport protein, outer membrane; long-chain fatty acid receptor
EG10281	fadR	P0A8V6	g1787436	Repressor/activator for fatty acid metabolism regulon; fatty acid-responsive transcription factor; fabAB, iclR activator (regulates aceBAK, glyoxylate shunt); fad repressor; homodimeric
EG10282	fbaA	P0AB71	g1789293	Fructose-bisphosphate aldolase, class II; binds Zn(II); homdomeric
EG10283	fbp	P0A993	g1790679	Fructose-1,6-bisphosphatase; allosteric: inhibited by AMP
EG10284	fdhE	P13024	g1790324	Redox enzyme maturation protein (REMP) for FdnG/FdoG; required for formate dehydrogenase activity; probable cytoplasmic protein
EG10285	fdhF	P07658	g3868721	Formate dehydrogenase H, selenopeptide; molybdate dependence; part of FHL-1 and FHL-2 (formate hydrogenlyase) complexes
EG10286	fecA	P13036	g1790743	Outer membrane ferric citrate receptor; ferric citrate uptake, TonB-dependent; signals FecR to activate FecI
EG10287	fecB	P15028	g87082411	Periplasmic ferric citrate-binding protein
EG10288	fecC	P15030	g1790741	Ferric citrate transport membrane permease
EG10289	fecD	P15029	g1790740	Ferric citrate transport membrane permease
EG10290	fecE	P15031	g1790739	Ferric citrate ATP-binding, membrane-associated transport protein
EG10291	fecI	P23484	g1790746	Alternative RNAP sigma factor required for fecA promoter; activated by FecR
EG10292	fecR	P23485	g1790745	Transmembrane signal transducer for ferric citrate transport; recognizes FecA:ferric citrate complex in periplasm and activates FecI sigma factor in cytoplasm
EG10293	fepA	P05825	g1786798	Ferrienterobactin outer membrane receptor
EG10294	fepB	P0AEL6	g1786807	Ferrienterobactin-binding periplasmic protein
EG10295	fepC	P23878	g1786803	Ferrienterobactin transporter, membrane ATP protein
EG10296	fepD	P23876	g1786805	Ferrienterobactin transporter, membrane permease
EG10297	fepE	P26266	g1786802	Ferrienterobactin transport, membrane protein; regulator of length of O-antigen component of lipopolysaccharide chains
EG10298	fepG	P23877	g1786804	Ferrienterobactin transporter, membrane permease
EG10299	fes	P13039	g1786799	Enterochelin esterase
EG10300	ffh	P0AGD7	g1788963	Signal Recognition Particle (SRP) protein, with 4.5S RNA; GTPase involved in co-translational protein translocation into and through membranes
EG10301	fhlA	P19323	g1789087	Formate hydrogen lyase system activator, global regulator
EG10302	fhuA	P06971	g1786344	Outer membrane transporter for ferrichrome-iron; interacts with TonB; receptor for microcin J25, colicin M, and phages T1, T5, phi80; transports albomycin and rifamycin
EG10303	fhuB	P06972	g1786347	ABC transporter permease, Fe(3+)-ferrichrome uptake
EG10304	fhuC	P07821	g1786345	ABC transporter ATPase, Fe(3+)-ferrichrome uptake
EG10305	fhuD	P07822	g1786346	Periplasmic Fe(3+)-ferrichrome binding protein; binds other hydroxamate siderophores; fhuD mutants are albomycin resistant
EG10306	fhuE	P16869	g1787344	Outer membrane receptor for ferric-rhodotorulic acid; also receptor for ferric siderophores coprogen and ferrioxamine B
EG10307	fic	P20605	g1789761	Filamentation in presence of cyclic AMP, in mutants
EG10308	fimA	P04128	g1790769	Fimbrin type 1, major structural subunit; phase variation
EG10309	fimB	P0ADH5	g1790767	Site-specific recombinase, fimA promoter inversion; mediates fimbriae phase switching, along with FimE
EG10310	fimC	P31697	g1790771	Periplasmic chaperone for type 1 fimbriae; FimCD chaperone-usher transport
EG10311	fimD	P30130	g1790772	Outer membrane fimbrial subunit export usher protein; involved in export and assembly of type 1 fimbrial subunits; FimCD chaperone-usher transport
EG10312	fimE	P0ADH7	g1790768	Site-specific recombinase, fimA promoter inversion; biased towards the "ON to OFF" fimbriae phase switching direction
EG10313	fimF	P08189	g1790773	Fimbrin type 1 minor component; fimbrial morphology, assembly
EG10314	fimG	P08190	g1790774	Fimbrin type 1 minor component; fimbriae length; perhaps inhibits polymerization in type 1 fimbriae assembly
EG10315	fimH	P08191	g1790775	Minor type 1 fimbrial subunit; membrane-specific adhesin; mediates mannose-binding to host surfaces
EG10316	lpxD	P21645	g1786376	Lipid A synthesis, UDP-3-O-(R-3-hydroxymyristoyl)-glucosamine N-acyltransferase
EG10317	fis	P0A6R3	g1789661	Transcriptional activator for rRNA operons, bends DNA; interacts with RNAP; nucleoid-associated protein; dimeric
EG10318	fldA	P61949	g1786900	Flavodoxin I
EG10319	flhC	P0ABY7	g1788201	Transcriptional activator of flagellar class II operons; forms heterotetramer with FlhD; CsrA regulon; may be allosteric effector of FlhD
EG10320	flhD	P0A8S9	g1788202	Transcriptional activator of flagellar class II operons; forms heterotetramer with FlhC; possible role in regulation of cell division; can function in vivo independently of FlhC, but does not bind DNA by itself; contains HTH motif
EG10321	fliC	P04949	g1788232	Flagellin, structural gene, H-antigen
EG10322	fliL	P0ABX8	g1788254	Affects rotational direction of flagella during chemotaxis
EG10323	fliM	P06974	g1788255	Flagellar synthesis, motor switching and energizing
EG10324	fliN	P15070	g1788256	Flagellar switch protein
EG10325	fnr	P0A9E5	g1787595	Global transcription factor for anaerobic growth; [4FE-4S] cluster; homodimeric
EG10326	folA	P0ABQ4	g1786233	Dihydrofolate reductase; trimethoprim resistance
EG10327	folC	P08192	g1788654	Dihydrofolate:folylpolyglutamate synthase
EG10328	folD	P24186	g1786741	Methenyltetrahydrofolate dehydrogenase/cyclohydrolase
EG10329	mutM	P05523	g1790066	Formamidopyrimidine-DNA glycosylase/AP lyase; 5'-terminal deoxyribophosphodiesterase; DNA repair; GC to TA; binds Zn(II)
EG10330	frdA	P00363	g1790597	Fumarate reductase flavoprotein subunit
EG10331	frdB	P0AC47	g1790596	Fumarate reductase iron-sulfur protein subunit
EG10332	frdC	P0A8Q0	g1790595	Fumarate reductase membrane anchor polypeptide
EG10333	frdD	P0A8Q3	g1790594	Fumarate reductase membrane anchor polypeptide
EG10334	fre	P0AEN1	g2367314	NAD(P)H-flavin reductase; ferrisiderophore reductase C
EG10335	frr	P0A805	g1786368	Ribosome recycling factor (RRF); dissociates ribosomes from mRNA after termination of translation; tRNA mimic
EG10336	fruA	P20966	g1788492	Fructose permease, PTS Enzyme IIBC component
EG10337	fruK	P0AEW9	g1788493	Fructose-1-phosphate kinase; 1-phosphofructokinase
EG10338	fruR	P0ACP1	g1786268	Regulatory gene for fru operon, other catabolite-regulated genes
EG10339	ftsA	P0ABH0	g1786282	Cell division and septation protein, specific role unknown; recruited to FtsZ ring
EG10340	ftsE	P0A9R7	g1789873	ATP-binding protein associated with the inner membrane via FtsX; cell division, null mutant has filamentous growth and requires high salt for viability
EG10341	ftsI	P0AD68	g1786272	Transpetidase, PBP3; penicillin-binding protein 3 involved in septal peptidoglycan synthesis
EG10342	ftsQ	P06136	g1786281	Divisome assembly protein; cell division and growth of wall at septum
EG10343	rsmD	P0ADX9	g1789875	16S rRNA m(2)G966 methyltransferase, SAM-dependent
EG10344	ftsW	P0ABG4	g1786277	Stabilizes FtsZ ring, membrane protein; faciltates septal petidoglycan synthesis by recruiting the cognate FtsI transpeptidase; SEDS protein
EG10345	ftsX	P0AC30	g1789872	Integral membrane protein invoved in cell division; binds FtsE to the inner membrane
EG10346	ftsY	P10121	g1789874	Signal recognition particle (SRP) receptor
EG10347	ftsZ	P0A9A6	g1786284	Septal ring GTPase required for cell division and growth; initiation of septation
EG10348	fucA	P0AB87	g1789164	L-fuculose-1-phosphate aldolase
EG10349	fucI	P69922	g1789167	L-Fucose isomerase
EG10350	fucK	P11553	g1789168	L-Fuculose kinase
EG10351	fucO	P0A9S1	g1789163	L-1,2-Propanediol oxidoreductase
EG10352	fucP	P11551	g1789166	Fucose permease
EG10353	fucR	P0ACK8	g1789170	Positive regulatory protein for fuc regulon
EG10355	fucU	P0AEN8	g1789169	L-Fucose mutarotase
EG10356	fumA	P0AC33	g1787897	Fumarase A, aerobic; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur
EG10357	fumB	P14407	g1790564	Fumarase B, anaerobic
EG10358	fumC	P05042	g1787896	Fumarase C, aerobic
EG10359	fur	P0A9A9	g1786899	Ferric iron uptake global transcriptional repressor; activated by Fe+2; zinc metalloprotein
EG10360	fusA	P0A6M8	g1789738	Elongation Factor EF-G; GTPase required for translocation from the A-site to the P-site in the ribosome; fusidic acid resistance
EG10361	gabT	P22256	g1789016	4-aminobutyrate aminotransferase
EG10362	galE	P09147	g1786974	UDP-galactose 4-epimerase; hexose-1-phosphate uridylyltransferase
EG10363	galK	P0A6T3	g1786972	Galactokinase
EG10364	galR	P03024	g1789202	Repressor of galETK operon
EG10365	galS	P25748	g1788474	Repressor of the mgl operon and isorepressor of the gal operon; autoregulatory; homodimeric
EG10366	galT	P09148	g1786973	Galactose-1-phosphate uridylyltransferase; Rob regulon, repressed
EG10367	gapA	P0A9B2	g1788079	Glyceraldehyde 3-P dehydrogenase A; binds selenium
EG10368	epd	P0A9B6	g1789295	Erythrose-4-P dehydrogenase
EG10369	gcd	P15877	g1786316	Glucose dehydrogenase (pyrroloquinoline-quinone) quinoprotein; inner membrane protein
EG10370	ispG	P62620	g1788863	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase; alternative nonmevalonate (DXP) pathway for terpenoid biosynthesis; [4Fe-4S] protein
EG10371	gcvH	P0A6T9	g1789271	Glycine cleavage, carrier of aminomethyl group
EG10372	gdhA	P00370	g1788059	Glutamate dehydrogenase
EG10373	hokC	P0ACG4	g48994874	Small toxic membrane polypeptide, multimeric; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown
EG10374	ggt	P18956	g1789856	gamma-Glutamyltranspeptidase, glutathione metabolism; Ntn hydrolase; autocatalytic processing into two subunits; periplasmic
EG10375	mnmG	P0A6U3	g2367273	5-methylaminomethyl-2-thiouridine modification at tRNA U34; cmnm(5) addition to tRNA-s(2)U34, forming (with prior MnmE action) tRNA-cmnm(5)s(2)U34, an intermediate in mnm(5)s(2)U34 synthesis; contains essential FAD-binding site (Yim, 2006)
EG10376	rsmG	P0A6U5	g1790179	16S rRNA m(7)G527 methyltransferase, SAM-dependent; mutant has low level streptomycin resistance
EG10377	glgA	P0A6U8	g1789836	Glycogen synthase
EG10378	glgB	P07762	g1789839	1,4-alpha-glucan branching enzyme; glycogen branching enzyme
EG10379	glgC	P0A6V1	g1789837	Glucose-1-phosphate adenylyltransferase; ADP-glucose pyrophosphorylase
EG10380	glgP	P0AC86	g2367228	Glycogen phosphorylase; alpha-glucan phosphorylase
EG10381	glgX	P15067	g2367229	Glycogen debranching enzyme
EG10382	glmS	P17169	g1790167	Glucosamine-6-phosphate synthase; glucosamine--fructose-6-phosphate aminotransferase; C-terminal F6P-binding domain has isomerase activity
EG10383	glnA	P0A9C5	g1790301	Glutamine synthase
EG10384	glnB	P0A9Z1	g1788904	PII regulatory protein for glutamine synthase; potent activator of NRII/GlnL/NtrB phosphatase and inhibitor of NRII autophosphorylation; activates adenylation of GlnA by GlnE
EG10385	glnG	P0AFB8	g1790299	Nitrogen regulator I
EG10386	glnH	P0AEQ3	g1787031	Periplasmic glutamine-binding protein
EG10387	glnL	P0AFB5	g1790300	Bifunctional protein kinase/phosphatase, nitrogen regulator II, NRII; homodimeric
EG10388	glnP	P0AEQ6	g1787030	Glutamine transport system permease protein GlnP
EG10389	glnQ	P10346	g1787029	Glutamine high-affinity transport system, ATP-binding protein
EG10390	glnS	P00962	g1786895	Glutamine--tRNA ligase
EG10391	glpA	P0A9C0	g1788574	sn-Glycerol-3-phosphate dehydrogenase (anaerobic) A subunit
EG10392	glpB	P13033	g1788575	sn-Glycerol-3-phosphate dehydrogenase (anaerobic) B subunit; membrane anchor
EG10393	glpC	P0A996	g1788576	sn-Glycerol-3-phosphate dehydrogenase (anaerobic) C subunit
EG10394	glpD	P13035	g2367226	sn-Glycerol-3-phosphate dehydrogenase (aerobic); membrane-anchored
EG10395	glpE	P0A6V5	g1789831	Thiosulfate:cyanide sulfurtransferase (rhodanese); in glpEGR operon, induced by glycerol
EG10396	glpF	P0AER0	g1790362	Aquaglyceroporin; glycerol facilitator
EG10397	glpG	P09391	g48994938	Rhomboid intramembrane serine protease; complements the phenotypic defects of P. stuartii aarA; mutant is slightly cefotaxime resistant
EG10398	glpK	P0A6F3	g1790361	Glycerol kinase
EG10399	glpQ	P09394	g1788572	Glycerophosphodiester phosphodiesterase, periplasmic; tetrameric
EG10400	glpR	P0ACL0	g1789829	Repressor of glp regulon, induced by glycerol phophate; tetrameric
EG10401	glpT	P08194	g1788573	sn-Glycerol-3-phosphate permease; fosfomycin sensitivity
EG10402	gltA	P0ABH7	g1786939	Citrate synthase; hexameric
EG10403	gltB	P09831	g1789605	Glutamate synthase, large subunit
EG10404	gltD	P09832	g1789606	Glutamate synthase, small subunit
EG10405	gltP	P21345	g1790514	Proton-glutamate-aspartate transport protein
EG10406	gltS	P0AER8	g1790085	Glutamate permease; Na+/glutamate symporter
EG10407	gltX	P04805	g1788743	Glutamate--tRNA ligase
EG10408	glyA	P0A825	g1788902	Serine hydroxymethyltransferase; binds Zn(II)
EG10409	glyQ	P00960	g1789983	Glycine--tRNA ligase, alpha-subunit
EG10410	glyS	P00961	g1789982	Glycine--tRNA ligase, beta-subunit
EG10411	gnd	P00350	g1788341	6-phosphogluconate dehydrogenase, decarboxylating
EG10412	gor	P06715	g1789915	Glutathione reductase, NADP+, FAD-binding
EG10413	gpp	P25552	g48994966	Guanosine pentaphosphatase and exopolyphosphatase
EG10414	gpt	P0A9M5	g1786433	Guanine-xanthine phosphoribosyltransferase phosphotransferase
EG10415	greA	P0A6W5	g87082225	Transcript cleavage factor
EG10416	grpE	P09372	g1788967	Nucleotide exchange factor for the DnaKJ chaperone; heat shock protein; mutant survives lambda induction; stimulates DnaK and HscC ATPase
EG10417	grxA	P68688	g1787073	Glutaredoxin 1
EG10418	gshA	P0A6W9	g1789044	Glutamate--cysteine ligase; gamma-Glutamylcysteine synthase
EG10419	gshB	P04425	g1789316	Glutathione synthase; homotetrameric
EG10420	guaA	P04079	g1788854	GMP synthase
EG10421	guaB	P0ADG7	g1788855	Inosine-5'-monophosphate (IMP) dehydrogenase
EG10422	guaC	P60560	g1786293	GMP reductase
EG10423	gyrA	P0AES4	g1788562	DNA gyrase, subunit A; nalidixic acid resistance; cold shock regulon
EG10424	gyrB	P0AES6	g48994957	DNA gyrase, subunit B; novobiocin, coumermycin resistance
EG10425	hdhA	P0AET8	g1787905	7-alpha-hydroxysteroid dehydrogenase
EG10426	helD	P15038	g1787196	ATP-dependent DNA Helicase IV
EG10427	hemA	P0A6X1	g1787461	Glutamyl-tRNA reductase, hemin biosynthesis; neomycin sensitivity
EG10428	hemB	P0ACB2	g87081728	5-aminolevulinate dehydratase; also known as porphobilinogen synthase; binds Zn(II)
EG10429	hemC	P06983	g48994974	Porphobilinogen deaminase; neomycin sensitivity
EG10430	hemD	P09126	g1790236	Uroporphyrinogen III cosynthase; neomycin sensitivity
EG10431	hemH	P23871	g1786681	Ferrochelatase
EG10432	hemL	P23893	g1786349	Glutamate-1-semialdehyde aminomutase
EG10433	hemX	P09127	g1790235	Uroporphyrinogen III methyltransferase
EG10434	hemY	P0ACB7	g1790234	Member of uro (hemC) operon
EG10435	hflC	P0ABC3	g1790617	Membrane bound protease complex, with FtsH and HflK; regulates lysogeny; non-essential
EG10436	hflK	P0ABC7	g1790616	Membrane bound protease complex with FtsH and HflC; regulates lysogeny; non-essential
EG10437	hflX	P25519	g1790615	GTPase, stimulated by 50S subunit binding, function unknown
EG10438	hfq	P0A6X3	g1790614	Global regulator of sRNA function; host factor for RNA phage Q beta replication; HF-I; DNA- and RNA-binding protein; RNA chaperone; multiple regulatory roles: destabilzes ompA mRNA, improves rpoS translation, sRNA DsrA co-factor; binds RNAP; ATPase
