# GeneSpring v.7.3.1
# Annotations file for the Master Table of Genes (both ORFs and non-
# ORFs) for genome Fission yeast
Systematic Name	EC number	PombePD	Our_annotation	Phenotype	Function	Keywords	PubMedID	GeneDB	Remarks	Swissprot	Type	DBid	GO biological process	GO molecular function	GO cellular component	RefSeq	UniGene
C663.08c		Protein containing a short chain dehydrogenase domain, has weak similarity to C. albicans Sou1p, which is involved in utilization of L-sorbose					SPCC663.08c	short chain dehydrogenase (predicted)									
C736.11		Protein required for transcriptional and post-transcriptional regulation of centromeric heterochromatin by RNA interference (RNAi)-mediated Lys9 methylation of histone H3 and for chromosome segregation and telomere clustering during mitosis and meiosis					SPCC736.11	argonaute,  csp9		O74957							
C869.11		Protein with high similarity to S. cerevisiae Gap1p, which is a general amino acid permease and proton symport transporter for all naturally-occurring L-amino acids, member of the amino acid permease family of membrane transporters					SPAC869.11	amino acid permease family,  SPAC922.08c		Q9URZ4							
C736.13		Protein containing a short chain dehydrogenase domain, has moderate similarity to retinol dehydrogenase 12 (human RDH12), which is a dehydrogenase with substrate specificity for all-trans and 9, 11 and 13-cis retinal					SPCC736.13	short chain dehydrogenase		O74959							
C211.01		Member of the ribosomal S10p or S20e family, which are part of the small ribosomal subunit, has moderate similarity to uncharacterized S. cerevisiae Rsm10p					SPBC211.01	mitochondrial ribosomal protein subunit S10,  SPBC23E6.11		O60186							
C736.15		Protein with high similarity to S. cerevisiae Pil1p, which negatively regulates 3-phosphoinositide-dependent protein kinase (Pkh1p) and downstream effector kinases, and is involved in the response to heat					SPCC736.15	conserved fungal protein		O74960							
PB17E12.14c		Member of the 6-phosphofructo-2-kinase family, which catalyze formation and degradation of fructose-2,6-bisphosphate, and the phosphoglycerate mutase family, has moderate similarity to fructose-2,6-bisphosphatase (S. cerevisiae Fbp26p)					SPAPB17E12.14c	6-phosphofructo-2-kinase (predicted)		Q8TFH0							
C736.16		Protein of unknown function					SPCC594.01	sequence orphan,  SPCC736.16		O74504							
spc7		Component of the NMS complex of the kinetochore, involved in kinetochore-microtubule interactions during chromosome segregation					SPCC1020.02	kinetochore protein Spc7p		O59757							
C211.05		Member of the splicing factor 3B subunit 10 (SF3b10) family, has high similarity to uncharacterized human SF3B5					SPBC211.05	splicing factor 3B		Q9P7R6							
C27B12.01c		Protein with low similarity to S. cerevisiae Mmm1p, which is essential for establishment and maintenance of mitochondrial shape and structure and is involved in coupling mitochondria to the actin cytoskeleton					SPBC27B12.01c	Mdm10p/Mdm12p/Mmm1p complex,  SPBC30B4.09c		O42994							
C211.06		Member of the gamma-tubulin complex, localizes to the spindle pole body and the equatorial microtubule organizing center, plays a role in microtubule organization					SPBC211.06	gfh1,  gamma tubulin complex		Q9P7R5							
C13G6.05c		Member of the transport protein particle (TRAPP) component, Bet3 family, has a region of low similarity to a region of S. cerevisiae Trs33p, which is a subunit of both the Transport Protein Particle I (TRAPPI) and the TRAPPII complexes					SPAC13G6.05c	TRAPP (predicted)		Q09784							
C926.07c		Nonessential member of the 8 kDa dynein light chain protein family					SPAC926.07c	dynein light chain (predicted)		Q9UR05							
cut12: stf1		Essential component of spindle pole bodies					SPBC649.05	spindle pole body componet Cut12,  stf1		O59755							
C1773.02c		Protein containing an AhpC or TSA family domain, has moderate similarity to S. cerevisiae Dot5p, which is a nuclear thiol peroxidase involved in telomeric silencing					SPBC1773.02c	thioredoxin peroxidase		O94561							
C9.12c		Member of the ATP12 ATPase family, which may be chaperones involved in F1 ATPase complex assembly, has low similarity to S. cerevisiae Atp12p, which is an F1-ATP synthase assembly protein					SPAC9.12c	F1 ATPase chaperone (ISS)		Q9UT16							
fnx1		Major facilitator superfamily (MFS) transporter required for long-term survival in cells starved for nitrogen					SPBC12C2.13c	MFS multidrug efflux transporter,  SPBC21D10.04c		Q09752							
C16C9.04c		Member of the zinc finger C-x8-C-x5-C-x3-H type (and similar) family, which bind DNA or RNA, contains an RNA recognition motif (RRM, RBD, or RNP), has moderate similarity to S. cerevisiae Sig1p, which is a transcriptional repressor					SPAC16C9.04c	CCR4-Not complex (predicted)		Q09818							
C5H10.02c							SPAC5H10.02c	conserved fungal protein		Q09675							
azr1		Protein involved in resistance to 5-azacytidine					SPAC1556.03	serine/threonine protein phosphatase (SMART)		Q09189							
C3F10.12c		Protein containing one helix-loop-helix DNA-binding domain, which mediate protein dimerization, has a region of moderate similarity to a region of S. cerevisiae Cbf1p, which is required for chromosome stability and methionine prototrophy					SPAC3F10.12c	basic helix-loop-helix (bHLH)		Q10186							
tub1: atb2: alp2		Tubulin alpha-2 chain, required for the maintenance of microtubule structure					SPBC800.05c	tubulin alpha 2,  atb2,  alp2,  ban5		P04689							
PB1A10.10c		Protein with high similarity to S. pombe Ypt7p, which is involved in endocytosis and vacuole function, contains a Ras family domain					SPAPB1A10.10c	GTPase		Q9HDY0							
P16F5.06		Protein containing an RNA recognition motif (RRM, RBD, or RNP)					SPBP16F5.06	rrm RNA recognition motif		Q9HFE6							
C663.09c		Protein containing a short chain dehydrogenase domain, has low similarity to a region of 17 beta-hydroxysteroid dehydrogenase type 2 (rat Hsd17b2), which is involved in estrogen catabolism					SPCC663.09c	short chain dehydrogenase (predicted)									
spd1		Negative regulator of S phase					SPAC29B12.03	ribonucleotide reductase (RNR) anchor		Q10585							
C750.02c		Member of the major facilitator superfamily, has low similarity to C. albicans Tpo1p, which is a membrane transporter that confers resistance to mycophenolic acid					SPAC750.02c	membrane transporter (predicted)		Q9P3E8							
C13G6.06c	EC1.4.4.2	Protein with high similarity to S. cerevisiae Gcv2p, which functions in the pathway for glycine degradation, member of the glycine cleavage P-protein family, which form part of the glycine decarboxylase multienzyme complex involved in glycine catabolism					SPAC13G6.06c	glycine cleavage complex subunit P		Q09785							
C4F10.09c		Member of the CBF or Mak21 family, has moderate similarity to S. cerevisiae Mak21p, which is required for 60S ribosomal subunit biogenesis					SPAC4F10.09c	ribosome biogenesis and assembly protein (predicted)		O36021							
C926.08c		Protein with high similarity to S. cerevisiae Rpf2p, which is required for large ribosomal subunit assembly and maturation of precursor rRNAs, contains a Brix domain					SPAC926.08c	Brix domain		Q9UUG1							
C1289.01c		Putative chitin synthase regulatory factor, involved in septum formation, has similarity to S. cerevisiae Skt5p					SPBC1289.01c	chitin synthase regulatory factor (putative) Chr4,  cfh3,  SPBC1539.11c		O94614							
C2D10.19c		Protein of unknown function					SPBC2D10.19c	sequence orphan		O74809							
C1773.03c		Protein containing an aminotransferase class-III domain, has low similarity to ornithine aminotransferase (ornithine delta aminotransferase, L ornithine:2 oxoacid delta aminotransferase, mouse Oat), which plays a role in vision					SPBC1773.03c	aminotransferase (predicted)		O94562							
sap114		Member of the Surp module (SWAP domain) containing family, has moderate similarity to a region of splicing factor 3a subunit 1 (human SF3A1), which interacts with other SF3A proteins and is required for formation of presplicing complex A					SPAC22A12.09c	complexed with Cdc5		O13900							
sar1		Putative component of COPII coat of vesicles involved in endoplasmic reticulum to Golgi transport, GTP-binding protein belonging to the ras superfamily					SPBC31F10.06c	ADP-ribosylation factor		Q01475							
C144.15c		Protein of unknown function					SPAC144.15c	sequence orphan		Q9UTL1							
nup124		Nuclear pore complex protein required for spore germination					SPAC30D11.04c	nucleoporin		Q09904							
PB1A10.11c	EC6.1.1.17	Protein containing a tRNA synthetases class I (E and Q) catalytic domain, has moderate similarity to mitochondrial glutamyl-tRNA synthetase (S. cerevisiae Mse1p)					SPAPB1A10.11c	glutamyl-tRNA synthetase		Q9HDX9							
tea1		Tip elongation aberrant protein, a cell-end factor required for the initiation of bipolar growth and for the correct localization of growing tips					SPCC1223.06	cell end marker Tea1		P87061							
pex5		Protein containing four type 1 tetratricopeptide repeats, which may act in protein binding, and four type 2 tetratricopeptide repeats, has low similarity to peroxisomal protein 5 (S. cerevisiae Pex5p), which acts in protein-peroxisome targeting					SPBC725.07	peroxisomal targeting signal receptor (predicted)		O94325							
C3G6.09c	EC3.1.3.12	Member of the glycosyltransferase 20 family and the trehalose-phosphatase family, which de-phosphorylate trehalose-6-phosphate, has moderate similarity to S. pombe Tpp1p, which is a trehalose-6P phosphatase					SPAC3G6.09c	trehalose-phosphate synthase (predicted)		O14145							
spe1	EC4.1.1.17	Protein with high similarity to ornithine decarboxylase (C. immitis Odcp), which is involved in polyamine metabolism, contains a pyridoxal-dependent decarboxylase pyridoxal binding domain and a pyridoxal-dependent decarboxylase C-terminal sheet domain					SPAC144.04c	ornithine decarboxylase		Q9UQW9							
pex7		Peroxisomal targeting signal 2 receptor, peroxin-7					SPAC17D4.01	peroxin-7 (predicted),  SPAP17D4.01		P78798							
spe2	EC4.1.1.50	S-adenosylmethionine decarboxylase proenzyme					SPBP4H10.05c	S-adenosylmethionine decarboxylase proenzyme		Q9P7E3							
pma1	EC3.6.3.6	Plasma membrane H+-ATPase					SPAC1071.10c	P-type proton ATPase		P09627							
pma2		Plasma membrane H+-ATPase					SPCC1020.01c	P-type proton ATPase,  SPCC1393.01		P28876							
sec61		Essential protein, has high similarity to S. cerevisiae Sec61p					SPBC354.02c	translocon (alpha subunit)									
C750.03c		Protein of unknown function, has very strong similarity to uncharacterized S. pombe Spbc1348.04p					SPAC750.03c	sterol methyltransferase (putative)		Q9P3E7							
sec62		Member of the translocation protein Sec62 family, has low similarity to S. cerevisiae Sec62p, which is a component of the ER protein-translocation subcomplex that also includes Sec63p, Sec66p, and Sec72p					SPAC17G6.09	ER protein translocation subcomplex subunit Sec62 (predicted)		O13787							
C27B12.03c		Member of the sterol desaturase family, which are involved in cholesterol and plant cuticular wax biosynthesis, has moderate similarity to C-5 sterol desaturase (C. albicans Erg3p), which is an enzyme of the ergosterol biosynthesis pathway					SPBC27B12.03c	lathosterol oxidase (ISS)		O13666							
sec65		Member of the SRP19 (signal recognition particle 19) protein family, which are involved in protein translocation, has a region of low similarity to a region of signal recognition particle subunit SRP19 (S. cerevisiae Sec65p)					SPCC126.15c	signal recognition particle subunit Sec65 (predicted)		O94407							
sec66		Protein with low similarity to S. cerevisiae Sec66p, which is a component of ER protein-translocation subcomplex with S. cerevisiae Sec62p, S. cerevisiae Sec63p, S. cerevisiae Sec66p, and S. cerevisiae Sec72p					SPBC409.21	ER protein translocation subcomplex subunit (predicted)		Q9UUA4							
rem1		Protein containing a cyclin N-terminal domain and a cyclin C-terminal domain, which often form complexes with protein kinases and cyclin dependent protein kinases, has low similarity to S. pombe Cdc13p, which is a cyclin that promotes entry into mitosis					SPBC16E9.17c	cyclin		O14332							
abc1: C2D10.18		Protein involved in assembly of the ubiquinol cytochrome c reductase complex (cytochrome bc1 complex), conserved in many other organisms					SPBC2D10.18	ABC1 family,  coq8		Q92338							
meu11RC							SPNCRNA.17	non-coding RNA (predicted),  prl17									
C16C9.06c		Protein with high similarity to regulator of nonsense transcripts 1 (mouse Rent1), which may be involved in detecting mRNAs with premature stop codons and targeting them for degradation					SPAC16C9.06c	ATP-dependent RNA helicase		Q09820							
C4F6.11c		Protein containing an asparagine synthase domain, and a glutamine amidotransferases class II (purF-type) domain, has weak similarity to C. elegans F25G6.6, which is involved in growth rate regulation and locomotory behavior					SPBC4F6.11c	asparagine synthase (predicted)		O74397							
C776.15c	EC2.3.1.61	Protein with high similarity to 2-oxoglutarate dehydrogenase complex KE2 component dihydrolipoamide S-succinyltransferase (S. cerevisiae Kgd2p), contains a 2-oxo acid dehydrogenases acyltransferase catalytic domain and a biotin or lipoyl attachment domain					SPBC776.15c	dihydrolipoamide S-succinyltransferase (e2 component of oxoglutarate dehydrogenase complex) (predicted)		O94681							
C24H6.06		Coiled-coil protein required to load and maintain Sna41p on DNA replication origins during S phase					SPAC24H6.06	pre-initiation complex subunit Sld3		Q09761							
PB1A10.12c		Member of the D-arabinono-1,4-lactone oxidase family, which are involved in D-erythroascorbic acid biosynthesis, contains an FAD-binding domain, has low similarity to gulonolactone (L)-oxidase (L-gulono-gamma-lactone oxidase, rat Gulo)					SPAPB1A10.12c	D-arabinono-1, 4-lactone oxidase		Q9HDX8							
